x:0	y:0	width:1000	height:1456	text:-1	confidence:nan	level:1	isAnnotation:False
x:105	y:0	width:146	height:14	text:-1	confidence:nan	level:2	isAnnotation:False
x:105	y:0	width:146	height:14	text:-1	confidence:nan	level:3	isAnnotation:False
x:105	y:0	width:146	height:14	text:-1	confidence:nan	level:4	isAnnotation:False
x:105	y:0	width:146	height:14	text:58	confidence:r.%_---Er.-.	level:5	isAnnotation:False
x:257	y:36	width:77	height:7	text:-1	confidence:nan	level:2	isAnnotation:False
x:257	y:36	width:77	height:7	text:-1	confidence:nan	level:3	isAnnotation:False
x:257	y:36	width:77	height:7	text:-1	confidence:nan	level:4	isAnnotation:False
x:257	y:36	width:77	height:7	text:70	confidence:_-----.	level:5	isAnnotation:False
x:87	y:39	width:162	height:7	text:-1	confidence:nan	level:2	isAnnotation:False
x:87	y:39	width:162	height:7	text:-1	confidence:nan	level:3	isAnnotation:False
x:87	y:39	width:162	height:7	text:-1	confidence:nan	level:4	isAnnotation:False
x:87	y:39	width:162	height:7	text:95	confidence: 	level:5	isAnnotation:False
x:335	y:41	width:147	height:8	text:-1	confidence:nan	level:2	isAnnotation:False
x:335	y:41	width:147	height:8	text:-1	confidence:nan	level:3	isAnnotation:False
x:335	y:41	width:147	height:8	text:-1	confidence:nan	level:4	isAnnotation:False
x:335	y:41	width:147	height:8	text:95	confidence: 	level:5	isAnnotation:False
x:21	y:48	width:699	height:53	text:-1	confidence:nan	level:2	isAnnotation:False
x:21	y:48	width:699	height:53	text:-1	confidence:nan	level:3	isAnnotation:False
x:21	y:48	width:699	height:53	text:-1	confidence:nan	level:4	isAnnotation:False
x:21	y:53	width:2	height:32	text:65	confidence:i	level:5	isAnnotation:False
x:75	y:48	width:37	height:36	text:60	confidence:it	level:5	isAnnotation:False
x:118	y:64	width:46	height:17	text:89	confidence:cr.	level:5	isAnnotation:False
x:178	y:53	width:85	height:29	text:92	confidence:VIII.	level:5	isAnnotation:False
x:275	y:55	width:166	height:40	text:56	confidence:Ad'lotmrage	level:5	isAnnotation:False
x:452	y:57	width:203	height:39	text:45	confidence:ofylgtterums,	level:5	isAnnotation:False
x:667	y:73	width:11	height:24	text:90	confidence:I	level:5	isAnnotation:False
x:686	y:72	width:13	height:27	text:82	confidence:3	level:5	isAnnotation:False
x:705	y:74	width:15	height:27	text:90	confidence:7	level:5	isAnnotation:False
x:74	y:118	width:862	height:208	text:-1	confidence:nan	level:2	isAnnotation:False
x:76	y:118	width:645	height:77	text:-1	confidence:nan	level:3	isAnnotation:False
x:77	y:118	width:644	height:47	text:-1	confidence:nan	level:4	isAnnotation:False
x:77	y:120	width:35	height:33	text:59	confidence:tr,	level:5	isAnnotation:False
x:129	y:118	width:55	height:28	text:72	confidence:and	level:5	isAnnotation:False
x:189	y:118	width:84	height:29	text:82	confidence:thank	level:5	isAnnotation:False
x:281	y:119	width:43	height:28	text:77	confidence:the	level:5	isAnnotation:False
x:339	y:121	width:77	height:28	text:82	confidence:Lord	level:5	isAnnotation:False
x:419	y:122	width:48	height:37	text:83	confidence:for	level:5	isAnnotation:False
x:476	y:125	width:64	height:28	text:62	confidence:thas	level:5	isAnnotation:False
x:547	y:129	width:101	height:36	text:85	confidence:giving	level:5	isAnnotation:False
x:664	y:128	width:57	height:29	text:61	confidence:him	level:5	isAnnotation:False
x:76	y:158	width:524	height:37	text:-1	confidence:nan	level:4	isAnnotation:False
x:76	y:158	width:130	height:37	text:84	confidence:warning,	level:5	isAnnotation:False
x:228	y:158	width:72	height:29	text:60	confidence:Phil.	level:5	isAnnotation:False
x:320	y:162	width:41	height:26	text:74	confidence:rd,	level:5	isAnnotation:False
x:374	y:162	width:26	height:27	text:94	confidence:8.	level:5	isAnnotation:False
x:578	y:171	width:22	height:20	text:73	confidence:'3	level:5	isAnnotation:False
x:74	y:196	width:862	height:130	text:-1	confidence:nan	level:3	isAnnotation:False
x:115	y:196	width:818	height:57	text:-1	confidence:nan	level:4	isAnnotation:False
x:115	y:206	width:23	height:26	text:70	confidence:f.	level:5	isAnnotation:False
x:161	y:199	width:27	height:25	text:91	confidence:A	level:5	isAnnotation:False
x:209	y:196	width:106	height:30	text:73	confidence:fecond	level:5	isAnnotation:False
x:336	y:200	width:104	height:29	text:78	confidence:bcnefit	level:5	isAnnotation:False
x:461	y:203	width:93	height:30	text:94	confidence:which	level:5	isAnnotation:False
x:577	y:206	width:68	height:30	text:95	confidence:God	level:5	isAnnotation:False
x:669	y:210	width:48	height:28	text:54	confidence:des	level:5	isAnnotation:False
x:730	y:206	width:203	height:47	text:27	confidence:[Ar/Have!	level:5	isAnnotation:False
x:74	y:235	width:841	height:56	text:-1	confidence:nan	level:4	isAnnotation:False
x:74	y:235	width:72	height:39	text:80	confidence:figns	level:5	isAnnotation:False
x:162	y:246	width:30	height:18	text:94	confidence:us	level:5	isAnnotation:False
x:207	y:247	width:31	height:17	text:71	confidence:In	level:5	isAnnotation:False
x:256	y:248	width:52	height:17	text:93	confidence:our	level:5	isAnnotation:False
x:324	y:239	width:146	height:31	text:70	confidence:aifliftions	level:5	isAnnotation:False
x:484	y:246	width:23	height:26	text:93	confidence:is	level:5	isAnnotation:False
x:522	y:244	width:50	height:28	text:93	confidence:the	level:5	isAnnotation:False
x:589	y:253	width:130	height:37	text:80	confidence:weaning	level:5	isAnnotation:False
x:735	y:250	width:129	height:41	text:42	confidence:RN!“	level:5	isAnnotation:False
x:875	y:258	width:40	height:23	text:67	confidence:W	level:5	isAnnotation:False
x:76	y:275	width:860	height:51	text:-1	confidence:nan	level:4	isAnnotation:False
x:76	y:286	width:26	height:17	text:82	confidence:us	level:5	isAnnotation:False
x:112	y:275	width:72	height:28	text:91	confidence:from	level:5	isAnnotation:False
x:194	y:275	width:47	height:29	text:81	confidence:the	level:5	isAnnotation:False
x:252	y:276	width:97	height:34	text:90	confidence:world,	level:5	isAnnotation:False
x:370	y:286	width:31	height:20	text:93	confidence:to	level:5	isAnnotation:False
x:417	y:281	width:173	height:42	text:69	confidence:diiiprangle	level:5	isAnnotation:False
x:599	y:296	width:29	height:18	text:93	confidence:us	level:5	isAnnotation:False
x:644	y:287	width:75	height:32	text:81	confidence:from	level:5	isAnnotation:False
x:731	y:292	width:35	height:34	text:54	confidence:(A,	level:5	isAnnotation:False
x:787	y:292	width:149	height:32	text:48	confidence:”th1	level:5	isAnnotation:False
x:63	y:314	width:874	height:522	text:-1	confidence:nan	level:2	isAnnotation:False
x:73	y:314	width:864	height:121	text:-1	confidence:nan	level:3	isAnnotation:False
x:73	y:314	width:864	height:59	text:-1	confidence:nan	level:4	isAnnotation:False
x:73	y:319	width:33	height:25	text:92	confidence:its	level:5	isAnnotation:False
x:114	y:314	width:95	height:29	text:88	confidence:fetters	level:5	isAnnotation:False
