classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
88472540,kirschbombe,1679880,c1aae3d9570fb8bab7c4,5983,Tag & classify annotations,26.32,2018-02-03 01:12:27 UTC,,,"{""session"":""0628291cfe061a21901972c0cc09043132842018d8027f881b595f534509a1d5"",""viewport"":{""width"":1440,""height"":816},""started_at"":""2018-02-03T01:12:19.632Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"",""utc_offset"":""28800"",""finished_at"":""2018-02-03T01:12:26.846Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":470,""clientHeight"":734,""naturalWidth"":1000,""naturalHeight"":1562}]}","[{""task"":""T0"",""task_label"":""has annotation?"",""value"":""print only""}]","{""18221236"":{""retired"":{""id"":14030098,""workflow_id"":5983,""classifications_count"":3,""created_at"":""2018-04-18T03:53:35.078Z"",""updated_at"":""2018-05-15T08:53:47.262Z"",""retired_at"":""2018-05-15T08:53:47.250Z"",""subject_id"":18221236,""retirement_reason"":""classification_count""},""filename"":""Albin_080.jpg""}}",18221236
88472547,kirschbombe,1679880,c1aae3d9570fb8bab7c4,5983,Tag & classify annotations,26.32,2018-02-03 01:12:32 UTC,,,"{""session"":""0628291cfe061a21901972c0cc09043132842018d8027f881b595f534509a1d5"",""viewport"":{""width"":1440,""height"":816},""started_at"":""2018-02-03T01:12:28.818Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"",""utc_offset"":""28800"",""finished_at"":""2018-02-03T01:12:32.550Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":474,""clientHeight"":734,""naturalWidth"":1000,""naturalHeight"":1548}]}","[{""task"":""T0"",""task_label"":""has annotation?"",""value"":""print only""}]","{""18221403"":{""retired"":{""id"":15472155,""workflow_id"":5983,""classifications_count"":2,""created_at"":""2018-06-07T15:40:08.150Z"",""updated_at"":""2018-06-07T15:40:08.221Z"",""retired_at"":""2018-06-07T15:40:08.206Z"",""subject_id"":18221403,""retirement_reason"":""classification_count""},""filename"":""Albin_144.jpg""}}",18221403
88472565,kirschbombe,1679880,c1aae3d9570fb8bab7c4,5983,Tag & classify annotations,26.32,2018-02-03 01:12:43 UTC,,,"{""session"":""0628291cfe061a21901972c0cc09043132842018d8027f881b595f534509a1d5"",""viewport"":{""width"":1440,""height"":816},""started_at"":""2018-02-03T01:12:36.561Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"",""utc_offset"":""28800"",""finished_at"":""2018-02-03T01:12:43.170Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":479,""clientHeight"":734,""naturalWidth"":1000,""naturalHeight"":1533}]}","[{""task"":""T0"",""task_label"":""has annotation?"",""value"":""print only""}]","{""18221199"":{""retired"":{""id"":13045568,""workflow_id"":5983,""classifications_count"":3,""created_at"":""2018-03-07T21:13:55.064Z"",""updated_at"":""2018-04-12T22:40:23.875Z"",""retired_at"":""2018-04-12T22:40:23.870Z"",""subject_id"":18221199,""retirement_reason"":""classification_count""},""filename"":""Albin_065.jpg""}}",18221199
88472601,kirschbombe,1679880,c1aae3d9570fb8bab7c4,5983,Tag & classify annotations,26.32,2018-02-03 01:13:09 UTC,,,"{""session"":""0628291cfe061a21901972c0cc09043132842018d8027f881b595f534509a1d5"",""viewport"":{""width"":1440,""height"":816},""started_at"":""2018-02-03T01:12:44.332Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"",""utc_offset"":""28800"",""finished_at"":""2018-02-03T01:13:09.312Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":474,""clientHeight"":734,""naturalWidth"":1000,""naturalHeight"":1548}]}","[{""task"":""T0"",""task_label"":""has annotation?"",""value"":""print + annotation""},{""task"":""T1"",""task_label"":""draw box around annotation"",""value"":[{""x"":74.82698822021484,""y"":172.32203674316406,""tool"":0,""frame"":0,""width"":767.2810440063477,""height"":177.0648651123047,""details"":[{""value"":[1]}],""tool_label"":""draw box""}]},{""task"":""T2"",""task_label"":""Has another annotation?"",""value"":""no""}]","{""18221443"":{""retired"":{""id"":14576189,""workflow_id"":5983,""classifications_count"":3,""created_at"":""2018-05-08T03:40:30.261Z"",""updated_at"":""2018-06-07T16:18:27.196Z"",""retired_at"":""2018-06-07T16:18:27.185Z"",""subject_id"":18221443,""retirement_reason"":""classification_count""},""filename"":""Albin_156.jpg""}}",18221443
88472660,kirschbombe,1679880,c1aae3d9570fb8bab7c4,5983,Tag & classify annotations,26.32,2018-02-03 01:13:43 UTC,,,"{""session"":""0628291cfe061a21901972c0cc09043132842018d8027f881b595f534509a1d5"",""viewport"":{""width"":1440,""height"":816},""started_at"":""2018-02-03T01:13:12.090Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"",""utc_offset"":""28800"",""finished_at"":""2018-02-03T01:13:43.285Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":483,""clientHeight"":734,""naturalWidth"":1000,""naturalHeight"":1522}]}","[{""task"":""T0"",""task_label"":""has annotation?"",""value"":""print + annotation""},{""task"":""T1"",""task_label"":""draw box around annotation"",""value"":[{""x"":169.02975463867188,""y"":1234.6982421875,""tool"":0,""frame"":0,""width"":831.0767517089844,""height"":288.0789794921875,""details"":[{""value"":[0]}],""tool_label"":""draw box""}]},{""task"":""T2"",""task_label"":""Has another annotation?"",""value"":""no""}]","{""18221363"":{""retired"":{""id"":13125917,""workflow_id"":5983,""classifications_count"":3,""created_at"":""2018-03-10T19:54:38.762Z"",""updated_at"":""2018-05-21T23:30:21.002Z"",""retired_at"":""2018-05-21T23:30:20.993Z"",""subject_id"":18221363,""retirement_reason"":""classification_count""},""filename"":""Albin_129.jpg""}}",18221363
88472672,kirschbombe,1679880,c1aae3d9570fb8bab7c4,5983,Tag & classify annotations,26.32,2018-02-03 01:13:52 UTC,,,"{""session"":""0628291cfe061a21901972c0cc09043132842018d8027f881b595f534509a1d5"",""viewport"":{""width"":1440,""height"":816},""started_at"":""2018-02-03T01:13:45.498Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"",""utc_offset"":""28800"",""finished_at"":""2018-02-03T01:13:51.954Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":497,""clientHeight"":734,""naturalWidth"":1000,""naturalHeight"":1477}]}","[{""task"":""T0"",""task_label"":""has annotation?"",""value"":""print only""}]","{""18221056"":{""retired"":{""id"":14759178,""workflow_id"":5983,""classifications_count"":4,""created_at"":""2018-05-15T17:32:17.725Z"",""updated_at"":""2018-06-07T16:21:20.216Z"",""retired_at"":""2018-06-07T16:21:20.212Z"",""subject_id"":18221056,""retirement_reason"":""classification_count""},""filename"":""Albin_008.jpg""}}",18221056
89002427,kirschbombe,1679880,b3be2c46ede4ac471490,5983,Tag & classify annotations,26.32,2018-02-06 21:54:30 UTC,,,"{""session"":""aa3f00e88bfb1aa6019ae15b4360fa59e74bd32e6263e41926d911d28b90517c"",""viewport"":{""width"":1440,""height"":816},""started_at"":""2018-02-06T21:54:02.330Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"",""utc_offset"":""28800"",""finished_at"":""2018-02-06T21:54:29.887Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":482,""clientHeight"":734,""naturalWidth"":1000,""naturalHeight"":1525}]}","[{""task"":""T0"",""task_label"":""has annotation?"",""value"":""annotation only""},{""task"":""T1"",""task_label"":""draw box around annotation"",""value"":[{""x"":270.1143493652344,""y"":387.80426025390625,""tool"":0,""frame"":0,""width"":456.8510437011719,""height"":328.10211181640625,""details"":[{""value"":[3]}],""tool_label"":""draw box""}]},{""task"":""T2"",""task_label"":""Has another annotation?"",""value"":""no""}]","{""18221044"":{""retired"":{""id"":14435381,""workflow_id"":5983,""classifications_count"":3,""created_at"":""2018-05-02T02:24:40.144Z"",""updated_at"":""2018-05-09T09:02:36.564Z"",""retired_at"":""2018-05-09T09:02:36.555Z"",""subject_id"":18221044,""retirement_reason"":""classification_count""},""filename"":""Albin_003.jpg""}}",18221044
89377040,kirschbombe,1679880,f98fcc085cb75ed28d58,5983,Tag & classify annotations,26.32,2018-02-08 20:56:47 UTC,,,"{""session"":""ceb4d457532c1edf69f2ecaa7a2deb18a675499bf45bbc99a25c8accac76ee8b"",""viewport"":{""width"":1440,""height"":816},""started_at"":""2018-02-08T20:55:34.438Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"",""utc_offset"":""28800"",""finished_at"":""2018-02-08T20:56:47.597Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":482,""clientHeight"":734,""naturalWidth"":1000,""naturalHeight"":1523}]}","[{""task"":""T0"",""task_label"":""has annotation?"",""value"":""print + annotation""},{""task"":""T1"",""task_label"":""draw box around annotation"",""value"":[{""x"":108.64549255371094,""y"":1119.3963623046875,""tool"":0,""frame"":0,""width"":829.5666046142578,""height"":387.8223876953125,""details"":[{""value"":[0]}],""tool_label"":""draw box""}]},{""task"":""T2"",""task_label"":""Has another annotation?"",""value"":""no""}]","{""18221355"":{""retired"":{""id"":14435496,""workflow_id"":5983,""classifications_count"":3,""created_at"":""2018-05-02T02:29:04.083Z"",""updated_at"":""2018-06-07T15:42:38.890Z"",""retired_at"":""2018-06-07T15:42:38.885Z"",""subject_id"":18221355,""retirement_reason"":""classification_count""},""filename"":""Albin_126.jpg""}}",18221355
89426568,broadwell,1740898,d646c1041ca86e53ebb5,5983,Tag & classify annotations,26.32,2018-02-09 02:25:46 UTC,,,"{""session"":""232316ca39d59df9486c5f2b6e1abace1e9388af8bb83a0621423ef2f221ab44"",""viewport"":{""width"":1428,""height"":772},""started_at"":""2018-02-09T02:18:07.825Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"",""utc_offset"":""28800"",""finished_at"":""2018-02-09T02:25:46.166Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":476,""clientHeight"":695,""naturalWidth"":1000,""naturalHeight"":1461}]}","[{""task"":""T0"",""task_label"":""has annotation?"",""value"":""blank/na""}]","{""18221051"":{""retired"":{""id"":12567571,""workflow_id"":5983,""classifications_count"":4,""created_at"":""2018-02-15T20:53:48.584Z"",""updated_at"":""2018-04-22T04:45:18.549Z"",""retired_at"":""2018-04-22T04:45:18.544Z"",""subject_id"":18221051,""retirement_reason"":""classification_count""},""filename"":""Albin_006.jpg""}}",18221051
89426577,broadwell,1740898,d646c1041ca86e53ebb5,5983,Tag & classify annotations,26.32,2018-02-09 02:25:51 UTC,,,"{""session"":""232316ca39d59df9486c5f2b6e1abace1e9388af8bb83a0621423ef2f221ab44"",""viewport"":{""width"":1428,""height"":772},""started_at"":""2018-02-09T02:25:47.965Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"",""utc_offset"":""28800"",""finished_at"":""2018-02-09T02:25:51.242Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":484,""clientHeight"":695,""naturalWidth"":1000,""naturalHeight"":1435}]}","[{""task"":""T0"",""task_label"":""has annotation?"",""value"":""blank/na""}]","{""18221092"":{""retired"":{""id"":13116764,""workflow_id"":5983,""classifications_count"":22,""created_at"":""2018-03-10T02:54:30.419Z"",""updated_at"":""2018-06-07T16:01:55.958Z"",""retired_at"":""2018-06-07T16:01:55.953Z"",""subject_id"":18221092,""retirement_reason"":""classification_count""},""filename"":""Albin_022.jpg""}}",18221092
