ID,Name of Book,File Name,Label,,Key
1,Ascham,Ascham_01_095.png,(+),,(+) = annotated
2,Ascham,Ascham_01_081.png,(+),,(-) = no annotation
3,Montaigne,Montaigne_369.png,(+),,
4,Montaigne,Montaigne_341.png,(+),,
5,Blackmore,Blackmore_162.png,(+),,
6,Defoe,Defoe_042.png,(+),,
7,Montaigne,Montaigne_427.png,(+),,
8,Montaigne,Montaigne_433.png,(+),,
9,Montaigne,Montaigne_355.png,(+),,
10,Ascham,Ascham_01_056.png,(+),,
11,Voltaire,Voltaire_016.png,(+),,
12,Confucius,Confucius_162.png,(+),,
13,Ascham,Ascham_01_042.png,(+),,
14,Browne,Browne_138.png,(+),,
15,Blackmore,Blackmore_189.png,(+),,
16,Browne,Browne_110.png,(+),,
17,Defoe,Defoe_081.png,(+),,
18,Montaigne,Montaigne_382.png,(+),,
19,Defoe,Defoe_095.png,(+),,
20,Montaigne,Montaigne_396.png,(+),,
21,Browne,Browne_104.png,(+),,
22,Montaigne,Montaigne_619.png,(+),,
23,Allestree,Allestree_159.png,(+),,
24,Defoe,Defoe_268.png,(+),,
25,Montaigne,Montaigne_625.png,(+),,
26,Defoe,Defoe_240.png,(+),,
27,Montaigne,Montaigne_143.png,(+),,
28,Allestree,Allestree_165.png,(+),,
29,Defoe,Defoe_254.png,(+),,
30,Allestree,Allestree_171.png,(+),,
31,Montaigne,Montaigne_157.png,(+),,
32,Montaigne,Montaigne_631.png,(+),,
33,Voltaire,Voltaire_214.png,(+),,
34,Voltaire,Voltaire_228.png,(+),,
35,Montaigne,Montaigne_180.png,(+),,
36,Defoe,Defoe_283.png,(+),,
37,Montaigne,Montaigne_194.png,(+),,
38,Blackmore,Blackmore_228.png,(+),,
39,Defoe,Defoe_308.png,(+),,
40,Allestree,Allestree_039.png,(+),,
41,Blackmore,Blackmore_214.png,(+),,
42,Defoe,Defoe_334.png,(+),,
43,Blackmore,Blackmore_200.png,(+),,
44,Defoe,Defoe_320.png,(+),,
45,Browne,Browne_266.png,(+),,
46,Montaigne,Montaigne_209.png,(+),,
47,Defoe,Defoe_136.png,(+),,
48,Montaigne,Montaigne_235.png,(+),,
49,Blackmore,Blackmore_016.png,(+),,
50,Montaigne,Montaigne_547.png,(+),,
51,Voltaire,Voltaire_189.png,(+),,
52,Defoe,Defoe_122.png,(+),,
53,Blackmore,Blackmore_002.png,(+),,
54,Browne,Browne_058.png,(+),,
55,Confucius,Confucius_016.png,(+),,
56,Voltaire,Voltaire_176.png,(+),,
57,Confucius,Confucius_002.png,(+),,
58,Montaigne,Montaigne_584.png,(+),,
59,Dryden,Dryden_007.png,(+),,
60,Browne,Browne_070.png,(+),,
61,Montaigne,Montaigne_591.png,(+),,
62,Confucius,Confucius_003.png,(+),,
63,Voltaire,Voltaire_177.png,(+),,
64,Browne,Browne_059.png,(+),,
65,Confucius,Confucius_017.png,(+),,
66,Voltaire,Voltaire_163.png,(+),,
67,Voltaire,Voltaire_188.png,(+),,
68,Montaigne,Montaigne_546.png,(+),,
69,Allestree,Allestree_206.png,(+),,
70,Defoe,Defoe_123.png,(+),,
71,Defoe,Defoe_137.png,(+),,
72,Montaigne,Montaigne_552.png,(+),,
73,Montaigne,Montaigne_208.png,(+),,
74,Voltaire,Voltaire_349.png,(+),,
75,Montaigne,Montaigne_022.png,(+),,
76,Blackmore,Blackmore_201.png,(+),,
77,Defoe,Defoe_335.png,(+),,
78,Montaigne,Montaigne_036.png,(+),,
79,Blackmore,Blackmore_215.png,(+),,
80,Allestree,Allestree_038.png,(+),,
81,Browne,Browne_298.png,(+),,
82,Defoe,Defoe_309.png,(+),,
83,Blackmore,Blackmore_229.png,(+),,
84,Montaigne,Montaigne_195.png,(+),,
85,Browne,Browne_307.png,(+),,
86,Voltaire,Voltaire_229.png,(+),,
87,Defoe,Defoe_282.png,(+),,
88,Voltaire,Voltaire_201.png,(+),,
89,Montaigne,Montaigne_156.png,(+),,
90,Allestree,Allestree_170.png,(+),,
91,Defoe,Defoe_255.png,(+),,
92,Montaigne,Montaigne_630.png,(+),,
93,Montaigne,Montaigne_624.png,(+),,
